,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
569,Zaman Khan Historical Bridge,Historical landmark,4.3,1185.0,"Historical landmark, Bridge, Tourist attraction","Zaman Khan Historical Bridge, FVQX+599, Saman, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Cultural,5095.5,4.3,"Boroujen, Shahrekord"
570,Pir-e Ghar,Tourist attraction,4.1,509.0,Tourist attraction,"Pir-e Ghar, 6G8V+VQG, Farsan, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Entertainment,2086.8999999999996,4.26,"Boroujen, Shahrekord"
571,Chaleshtor Castle,Castle,4.3,197.0,"Castle, Historical landmark, Tourist attraction","Chaleshtor Castle, 9QGQ+X54, Chaleshtor, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Cultural,847.0999999999999,4.3,"Boroujen, Shahrekord"
572,Mellat park,Park,4.1,187.0,"Park, Tourist attraction","Mellat park, 8VP8+89V, Shahrekord, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Nature,766.6999999999999,4.1,"Boroujen, Shahrekord"
573,cheshmeh sardab,Tourist attraction,4.6,140.0,Tourist attraction,"chshmh srdb, 3GQ6+267, Rostamabad, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Entertainment,644.0,4.26,"Boroujen, Shahrekord"
574,Zardeh Limeh Waterfall,Tourist attraction,4.8,85.0,Tourist attraction,"Zardeh Limeh Waterfall, 25JJ+M3P, Badam Shirin, Chaharmahal and Bakhtiari Province",Shahrekord,Iran,Chahar Mahall and Bakhtiari,,Entertainment,408.0,4.26,"Boroujen, Shahrekord"
575,Dizin International Ski Resort,Ski resort,4.4,774.0,"Ski resort, Tourist attraction","Dizin International Ski Resort, 2CX8+3XJ, Gajereh, Alborz Province",Dizin,Iran,Alborz,,Entertainment,3405.6000000000004,4.36,"Dizin, Karaj, Savojbolagh"
576,Abbas Abad Historical Garden,Historical place,4.6,313.0,"Historical place, Tourist attraction","Mazandaran Province, Behshahr, Abbas Abad Rd, MH8W+557 Abbas Abad Historical Garden",Bandar-abbas,Iran,Mazandaran,,Cultural,1439.8,4.49,"Amol, Babolsar, Bandar-abbas, Behshahr, Chalus, Kelardasht, Nowshahr, Qaem-shahr, Ramsar, Sari, Savadkuh"
577,sHl mkhsr,Tourist attraction,4.8,221.0,Tourist attraction,"sHl mkhsr, X9VW+VG, Bandar-e-Mogham, Hormozgan Province",Bandar-abbas,Iran,Hormozgan,,Entertainment,1060.8,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
578,Bandar Abbas Beach Park,Park,4.2,62.0,"Park, Tourist attraction","Hormozgan Province, Bandar Abbas, sh rh jhn br, bndr `bs,, 568X+85J Bandar Abbas Beach Park",Bandar-abbas,Iran,Hormozgan,,Nature,260.40000000000003,4.31,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
579,Imam Khomeini's Old House,History museum,4.4,68.0,History museum,"Markazi Province, Khomeyn, blwr shhyd bhshty, J3RH+7H5 Imam Khomeini's Old House, 38819 55533",Khomein,Iran,Markazi,,Cultural,299.20000000000005,4.42,"Arak, Khomein, Mahallat, Mashhad_e_ardehal, Saveh, Tafresh"
580,Dalfard waterfall,Tourist attraction,4.4,84.0,Tourist attraction,"Dalfard waterfall, 2H3Q+996, Dalfard, Kerman Province",Jiroft,Iran,Kerman,,Entertainment,369.6,4.49,"Jiroft, Kerman, Meymand, Rafsanjan"
581,sHl mkhsr,Tourist attraction,4.8,221.0,Tourist attraction,"sHl mkhsr, X9VW+VG, Bandar-e-Mogham, Hormozgan Province",Bandar-e-lengeh,Iran,Hormozgan,,Entertainment,1060.8,4.52,"Bandar-abbas, Bandar-e-lengeh, Kish, Qeshm"
582,Siasard Tourstic Area,Tourist attraction,4.2,267.0,Tourist attraction,"Siasard Tourstic Area, W758+WJP, slm abd, Chaharmahal and Bakhtiari Province",Boroujen,Iran,Chahar Mahall and Bakhtiari,,Entertainment,1121.4,4.26,"Boroujen, Shahrekord"
583,Haj Aqa Ali historical House,Tourist attraction,4.5,126.0,Tourist attraction,"Haj Aqa Ali historical House, C3J4+RXG, Ghasem Abad, Kerman Province",Rafsanjan,Iran,Kerman,,Entertainment,567.0,4.49,"Jiroft, Kerman, Meymand, Rafsanjan"
584,Rageh Canyon,Tourist attraction,4.7,54.0,Tourist attraction,"Rageh Canyon, 45P4+MWG, Kerman Province",Rafsanjan,Iran,Kerman,,Entertainment,253.8,4.49,"Jiroft, Kerman, Meymand, Rafsanjan"
